Serial No.,Title,Author,Quantity
1,Clean Code: A Handbook of Agile Software Craftsmanship,Robert Cecil Martin,3
2,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest",3
3,Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman,3
4,The C Programming Language,Brian Kernighan and Dennis Ritchie,3
5,The Art of Computer Programming,Donald Knuth,3
6,The Pragmatic Programmer,Andrew Hunt and David Thomas,3
7,The Mythical Man-Month,Frederick P. Brooks Jr.,3
8,Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,3
9,Computer Networking: A Top-Down Approach,James F. Kurose and Keith W. Ross,3
10,Modern Operating Systems,Andrew S. Tanenbaum,3
11,Introduction to the Theory of Computation,Michael Sipser,3
12,The C++ Programming Language,Bjarne Stroustrup,3
13,Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman,3
14,Programming Pearls,Jon Bentley,3
15,Computer Organization and Design,David Patterson and John Hennessy,3
16,Computer Architecture: A Quantitative Approach,John Hennessy and David Patterson,3
17,Database Systems: The Complete Book,"Hector Garcia-Molina, Jeffrey D. Ullman, and Jennifer Widom",3
18,Pattern Recognition and Machine Learning,Christopher Bishop,3
19,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,3
20,The Art of Software Security Assessment,"Mark Dowd, John McDonald, Justin Schuh, and Matt Bishop",3
